competitor,role,department,region,description,posting_date,count,month,description_cluster,cluster_name
CXC Global,Digital Workplace Product Manager,Tech,APAC,"Drive the strategy, development, and lifecycle of digital workplace platforms. Align vendor roadmaps, manage internal and external teams, ensure infrastructure meets business goals across performance, cost, and innovation.",2025-04-01,1,2025-04,2,Compliance & Operations
CXC Global,Managing Director (Logistics),Leadership,APAC,"Lead operations in a key strategic market. Spearhead commercial growth, optimize operational performance, and drive cultural transformation in logistics. Requires experience in freight forwarding and international logistics markets.",2025-05-01,1,2025-05,2,Compliance & Operations
CXC Global,Senior IT Business Analyst,Tech,APAC,"Translate business needs into functional specifications for IT projects. Manage stakeholder expectations, provide insights on banking technology trends, and ensure alignment with industry best practices.",2025-03-01,1,2025-03,0,Platform Innovators
CXC Global,Talent Acquisition Partner,HR,APAC,"Support talent acquisition across APAC. Conduct interviews, recruiting, and build strong relationships with internal and external stakeholders to meet hiring goals.",2025-05-01,1,2025-05,1,APAC Sales Growth
CXC Global,Assistant Manager (Software Asset Management),Tech,APAC,"Oversee software budgeting, track usage, and drive cost optimization. Maintain software licenses, support procurement negotiations, and advise on SAM best practices.",2025-05-01,1,2025-05,2,Compliance & Operations
CXC Global,Workplace Services Coordinator,Operations,EMEA,"Coordinate office services in Kilkenny and Dublin, ensuring efficiency, health and safety compliance, and best-in-class workplace environments. Manage budgets, audits, and ESG initiatives.",2025-02-01,1,2025-02,0,Platform Innovators
CXC Global,ServiceNow Developer,Tech,APAC,"Design and develop ServiceNow applications. Customize modules like Incident Management, Change Management, and Service Catalog. Provide support and integrate third-party applications.",2025-03-01,1,2025-03,1,APAC Sales Growth
CXC Global,MuleSoft Technical Lead,Tech,APAC,"Provide architectural oversight for MuleSoft solutions. Design and deliver scalable API and integration solutions for enterprise clients, mentor developers, and support pre-sales efforts.",2025-03-01,1,2025-03,1,APAC Sales Growth
CXC Global,Assistant Manager Compliance,Compliance,APAC,"Conduct compliance audits, monitor regulatory requirements (e.g., AMLA), prepare reports, and facilitate remediation. Coordinate with departments to ensure system compliance.",2025-03-01,1,2025-03,0,Platform Innovators
CXC Global,Airfreight Operations Executive,Operations,APAC,"Manage airfreight shipments from client engagement to delivery. Negotiate with vendors, process documentation, and ensure timely and accurate logistics operations.",2025-05-01,1,2025-05,0,Platform Innovators
CXC Global,Integration Developer,Tech,APAC,"Develop and optimize Azure Logic Apps services. Transition from MuleSoft to Azure for global platform transformation. Design, test, and deploy integration solutions.",2025-04-01,1,2025-04,1,APAC Sales Growth
CXC Global,Senior Graphic Designer,Creative,APAC,Lead development of visual and multimedia content for internal and external communications. Establish templates and design processes to elevate brand experiences.,2025-03-01,1,2025-03,1,APAC Sales Growth
